stars_list,avg_rating,num_movies,rating_class,relative_freq,weighted_score
Kevin Bacon,0.6091044776119403,67,0,0.014318350355073717,0.008721371313291917
Jennifer Lopez,0.5837313432835821,67,0,0.014318350355073717,0.008358069886372136
Hulk Hogan,0.6008955223880597,67,0,0.014318350355073717,0.008603832616347281
Clancy Brown,0.6692537313432836,67,1,0.014318350355073717,0.009582609401813515
Tommy Lee Jones,0.6033333333333334,66,0,0.0141046436333562,0.008509801658791576
Yûki Kaji,0.6854545454545455,66,1,0.0141046436333562,0.009668092090500525
Mel Gibson,0.6146969696969697,66,1,0.0141046436333562,0.008670081700079714
Adam Sandler,0.5657575757575757,66,0,0.0141046436333562,0.007979808988932129
Harrison Ford,0.6540909090909092,66,1,0.0141046436333562,0.009225719176545261
Shawn Michaels,0.6463636363636365,66,1,0.0141046436333562,0.009116728748469327
John Rhys-Davies,0.5148484848484848,66,0,0.0141046436333562,0.007261754403961268
Kappei Yamaguchi,0.6944615384615385,65,1,0.01389093691163868,0.00964672141832877
Christian Slater,0.5624615384615385,65,0,0.01389093691163868,0.007813117745992464
Dermot Mulroney,0.5618461538461538,65,0,0.01389093691163868,0.007804569477123762
Mark Wahlberg,0.6027692307692307,65,0,0.01389093691163868,0.008373029356892362
Brad Pitt,0.6481538461538462,65,1,0.01389093691163868,0.00900346418595904
Boris Karloff,0.5986153846153845,65,0,0.01389093691163868,0.00831532854202863
Lon Chaney Jr.,0.5515384615384615,65,0,0.01389093691163868,0.007661385973573026
Michael Jackson,0.7190769230769231,65,1,0.01389093691163868,0.009988652173076798
John Hurt,0.6373846153846153,65,1,0.01389093691163868,0.008853869480756777
Christopher Walken,0.5904615384615385,65,0,0.01389093691163868,0.008202063979518347
Burt Lancaster,0.6633846153846154,65,1,0.01389093691163868,0.009215033840459384
Ernest Borgnine,0.5709375,64,0,0.013677230189921164,0.007808843611558114
Julianne Moore,0.6178125,64,1,0.013677230189921164,0.00844996377671067
James Franco,0.573125,64,0,0.013677230189921164,0.007838762552598567
Beyoncé,0.61171875,64,0,0.013677230189921164,0.008366618155240837
Tom Cruise,0.6625,64,1,0.013677230189921164,0.00906116500082277
Yuri Lowenthal,0.66875,64,1,0.013677230189921164,0.009146647689509778
Martin Sheen,0.61828125,64,1,0.013677230189921164,0.008456374978362194
Charles Bronson,0.58875,64,0,0.013677230189921164,0.008052469274316085
Shah Rukh Khan,0.6303125,64,1,0.013677230189921164,0.008620929154084684
Curly Howard,0.7015625,64,1,0.013677230189921164,0.009595431805116567
June Foray,0.68984375,64,1,0.013677230189921164,0.009435151763828429
Kevin Costner,0.66421875,64,1,0.013677230189921164,0.009084672740211698
Kevin Spacey,0.635,64,1,0.013677230189921164,0.00868504117059994
Bing Crosby,0.6128125,64,0,0.013677230189921164,0.008381577625761064
Jane Fonda,0.6233333333333334,63,1,0.013463523468203644,0.00839226296184694
Ray Milland,0.5846031746031746,63,0,0.013463523468203644,0.007870818560856193
Sean Bean,0.6360317460317461,63,1,0.013463523468203644,0.008563228339220953
Russell Hayden,0.5707936507936509,63,0,0.013463523468203644,0.007684893712961954
